,city_name,date,temperature
121,Berkeley,2022-04-26 01:00,50.1
122,Berkeley,2022-04-26 02:00,49.4
123,Berkeley,2022-04-26 03:00,48.7
124,Berkeley,2022-04-26 04:00,49.3
125,Berkeley,2022-04-26 05:00,49.8
126,Berkeley,2022-04-26 06:00,50.4
127,Berkeley,2022-04-26 07:00,51.1
128,Berkeley,2022-04-26 08:00,51.8
129,Berkeley,2022-04-26 09:00,52.5
130,Berkeley,2022-04-26 10:00,55.4
131,Berkeley,2022-04-26 11:00,58.3
132,Berkeley,2022-04-26 12:00,61.2
133,Berkeley,2022-04-26 13:00,63.6
134,Berkeley,2022-04-26 14:00,66.0
135,Berkeley,2022-04-26 15:00,68.4
136,Berkeley,2022-04-26 16:00,66.4
137,Berkeley,2022-04-26 17:00,64.5
138,Berkeley,2022-04-26 18:00,62.6
139,Berkeley,2022-04-26 19:00,58.8
140,Berkeley,2022-04-26 20:00,55.0
141,Berkeley,2022-04-26 21:00,51.3
142,Berkeley,2022-04-26 22:00,49.8
143,Berkeley,2022-04-26 23:00,48.4
144,Berkeley,2022-04-27 00:00,46.9
145,Berkeley,2022-04-27 01:00,46.5
146,Berkeley,2022-04-27 02:00,46.0
147,Berkeley,2022-04-27 03:00,45.5
148,Berkeley,2022-04-27 04:00,45.1
149,Berkeley,2022-04-27 05:00,44.8
150,Berkeley,2022-04-27 06:00,44.4
151,Berkeley,2022-04-27 07:00,46.6
152,Berkeley,2022-04-27 08:00,48.9
153,Berkeley,2022-04-27 09:00,51.1
154,Berkeley,2022-04-27 10:00,53.1
155,Berkeley,2022-04-27 11:00,55.2
156,Berkeley,2022-04-27 12:00,57.2
157,Berkeley,2022-04-27 13:00,58.5
158,Berkeley,2022-04-27 14:00,59.8
159,Berkeley,2022-04-27 15:00,61.2
160,Berkeley,2022-04-27 16:00,59.4
161,Berkeley,2022-04-27 17:00,57.7
162,Berkeley,2022-04-27 18:00,55.9
163,Berkeley,2022-04-27 19:00,53.4
164,Berkeley,2022-04-27 20:00,50.8
165,Berkeley,2022-04-27 21:00,48.2
166,Berkeley,2022-04-27 22:00,47.0
167,Berkeley,2022-04-27 23:00,45.8
168,Oakland,2022-04-21 00:00,50.7
169,Oakland,2022-04-21 01:00,50.5
170,Oakland,2022-04-21 02:00,50.2
171,Oakland,2022-04-21 03:00,50.0
172,Oakland,2022-04-21 04:00,49.9
173,Oakland,2022-04-21 05:00,49.8
174,Oakland,2022-04-21 06:00,49.6
175,Oakland,2022-04-21 07:00,50.9
176,Oakland,2022-04-21 08:00,52.2
